T,E
1.4625600591883985,-488.0
1.0719487512756254,-512.0
1.0999541012375542,-512.0
1.315416120182371,-512.0
1.3913676136251432,-504.0
1.018485363600587,-424.0
1.3164588146338103,-504.0
1.072565127332525,-512.0
1.0826556616836456,-512.0
1.2059054482927851,-512.0
1.0896341540788694,-512.0
1.2442920226757668,-512.0
1.2531649658103166,-504.0
1.191659911388705,-512.0
1.140616891919504,-512.0
1.26636113803287,-512.0
1.075227005778737,-512.0
1.458174009769089,-504.0
1.3403572633997531,-512.0
1.3883839703461094,-500.0
1.182096008886027,-512.0
1.3212416379977738,-512.0
1.0529487018753767,-512.0
1.1390566784357439,-512.0
1.003657228146508,-512.0
1.2343796485069762,-512.0
1.103510270762406,-512.0
1.0450239303878208,-512.0
1.4676906847832474,-512.0
1.3930321526384768,-504.0
1.0179213757090815,-512.0
1.1561833206910206,-512.0
1.3814515095197646,-504.0
1.3428716727279726,-504.0
1.3596562668454117,-504.0
1.000616531255954,-512.0
1.286215257016925,-404.0
1.133487831545947,-500.0
1.4730135314086652,-480.0
1.4637302292520133,-504.0
1.2846060252153384,-512.0
1.0475478741149673,-512.0
1.1863511706533671,-408.0
1.238938637011873,-496.0
1.1626713652583385,-504.0
1.4484983993864975,-504.0
1.0422466094117602,-512.0
1.1297199199272672,-512.0
1.1484382372856428,-512.0
1.282475305736221,-492.0
1.458005922568804,-512.0
1.4195348654408568,-504.0
1.4065796729100564,-480.0
1.0688967679639025,-512.0
1.4755973300019205,-492.0
1.2996913957604217,-512.0
1.3386436996821987,-512.0
1.4041257360321509,-512.0
1.3168848865346314,-512.0
1.2941289999846104,-504.0
1.2969152740142238,-512.0
1.2625441514836306,-504.0
1.1279825452838015,-512.0
1.3053850666177091,-504.0
1.2594291801932245,-504.0
1.0777207820417112,-512.0
1.4923247668088218,-448.0
1.4922890407158123,-496.0
1.2410153797931753,-496.0
1.2575285646158574,-512.0
1.397557419491543,-500.0
1.1473775966013815,-512.0
1.1595662442998331,-512.0
1.2603362012357688,-512.0
1.3776650863973723,-512.0
1.0244818549116397,-512.0
1.0150272893805894,-512.0
1.386176493837284,-512.0
1.386006216055494,-512.0
1.0570520355918185,-432.0
1.2522654950964933,-496.0
1.1423600411689678,-512.0
1.2536463507910216,-512.0
1.3057718029885348,-496.0
1.451276984609616,-512.0
1.088386391469616,-432.0
1.4266723355720297,-512.0
1.460332929136784,-504.0
1.1192764103136943,-512.0
1.4878111758183779,-512.0
1.3697157342382549,-504.0
1.170693533690864,-512.0
1.2024274822132668,-512.0
1.4163390980289188,-496.0
1.2954577457407084,-400.0
1.4480610412118151,-512.0
1.0634549877592565,-512.0
1.4618916580465902,-512.0
1.071859330727767,-420.0
1.2932225865073979,-496.0
1.4437855442440217,-488.0
1.3800074858720175,-512.0
1.3655679883263976,-496.0
1.0499312385803647,-512.0
1.158817817181781,-512.0
1.292113930030609,-512.0
1.3015535786693628,-504.0
1.4594115967653414,-496.0
1.0501978228249047,-512.0
1.3412477519874877,-512.0
1.4369442489519006,-504.0
1.3749917689676343,-512.0
1.1897320398634645,-504.0
1.4901023924493408,-484.0
1.1837559050575641,-512.0
1.0715109375833176,-512.0
1.4222394366435933,-512.0
1.4228984789010712,-512.0
1.4845881886738619,-496.0
1.2779847140142242,-512.0
1.4774491959279037,-456.0
1.1374125253775336,-512.0
1.0947356795421428,-512.0
1.1021986835407147,-428.0
1.0359110702514422,-512.0
1.1329349807297597,-504.0
1.2070130468946183,-512.0
1.3934621887510692,-504.0
1.3887024191205888,-504.0
1.0470886739438248,-512.0
1.080627031425962,-512.0
1.0865639232112516,-512.0
1.3937949181146696,-424.0
1.213951606840675,-512.0
1.202017195370383,-512.0
1.310178854829022,-496.0
1.0022500624698296,-512.0
1.4021804578064854,-512.0
1.039054196540182,-512.0
1.0594766553701056,-512.0
1.3897387703856645,-512.0
1.366747452281415,-512.0
1.4123320952281706,-504.0
1.2843705979764468,-504.0
1.2774262346957417,-512.0
1.024284644923479,-512.0
1.3711589747089883,-412.0
1.390364515510984,-504.0
1.4766027624525946,-504.0
1.077144746033774,-444.0
1.2711822011511025,-512.0
1.373394805674513,-512.0
1.2039709755656411,-512.0
1.3759815607874577,-504.0
1.0738916862710959,-504.0
1.3625916604254344,-512.0
1.133231658750423,-496.0
1.3525826893131676,-504.0
1.3597314779754683,-452.0
1.1175485584403297,-504.0
1.0069681438541007,-512.0
1.0928830674355436,-512.0
1.2571114350952073,-512.0
1.073086622096349,-512.0
1.483754866217105,-500.0
1.2092000220784302,-496.0
1.2585097434247146,-456.0
1.0649607526677358,-424.0
1.1151069954474404,-424.0
1.2941531242045041,-496.0
1.086471968221039,-512.0
1.4448282108376986,-512.0
1.2834688976596933,-496.0
1.3083780895386545,-512.0
1.2540836779064375,-512.0
1.188179736740413,-512.0
1.4206018531074782,-492.0
1.4542903453538036,-500.0
1.2704283184724756,-512.0
1.0124297456931282,-512.0
1.4900135897770963,-496.0
1.147679512672045,-512.0
1.297606420206686,-504.0
1.0768066975960293,-504.0
1.1572199901021314,-512.0
1.2484582980651746,-512.0
1.1856263185441387,-504.0
1.3308306315838805,-504.0
1.30718987027096,-504.0
1.0082899009487785,-512.0
1.0592392886085207,-512.0
1.2785160761706391,-504.0
1.3100746433141481,-424.0
1.161245220483865,-512.0
1.3913120523147735,-504.0
1.3919491045532069,-500.0
1.4961877820279186,-512.0
1.1494718255594527,-512.0
1.3471312178214432,-504.0
1.4680699934192312,-504.0
1.027783958453439,-428.0
1.1716462311894538,-504.0
1.001154386293371,-504.0
1.4259665788973992,-492.0
1.468063731687872,-488.0
1.3996067611207454,-512.0
1.348160187538868,-496.0
1.1454589190700593,-512.0
1.458668836275838,-496.0
1.0761560513565842,-512.0
1.1406919460109983,-504.0
1.2156635100732247,-504.0
1.1038586266757697,-428.0
1.166818879164119,-504.0
1.049462252552411,-512.0
1.1554807549603832,-512.0
1.371800182553826,-496.0
